time,id,station,address,latitude,longitude,location,status,lot,bike,empty,weather,temp,pressure,humidity,wind
2015/9/7 12:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,9,36,No Rain,299.15,1009,78,3.6
2015/9/7 13:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,4,41,No Rain,300.15,1008,78,3.1
2015/9/7 14:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,5,40,No Rain,300.15,1007,74,4.6
2015/9/7 15:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,16,29,No Rain,300.15,1007,78,3.1
2015/9/7 16:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,22,23,Rain,299.7,1007,78,4.1
2015/9/7 17:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,30,15,No Rain,300.68,1008,74,2.6
2015/9/7 18:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,38,7,Rain,300.7,1008,78,2.6
2015/9/7 19:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,2,43,Rain,299.69,1008,83,1
2015/9/7 20:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,3,42,Rain,299.15,1009,83,1.5
2015/9/7 21:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,0,45,No Rain,298.15,1010,88,2.6
2015/9/7 22:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,0,45,No Rain,297.62,1010,88,3.6
2015/9/7 23:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,44,No Rain,297.15,1010,88,3.6
2015/9/8 00:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,3,42,No Rain,297.15,1010,88,3.1
2015/9/8 01:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,44,No Rain,297.15,1010,88,3.1
2015/9/8 02:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,14,30,No Rain,297.15,1009,88,3.1
2015/9/8 03:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,12,32,No Rain,296.15,1008,88,2.6
2015/9/8 04:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,8,36,No Rain,297.15,1008,83,2.6
2015/9/8 05:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,20,24,No Rain,296.68,1008,88,2.6
2015/9/8 06:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,21,23,No Rain,296.68,1009,88,3.1
2015/9/8 07:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,24,20,Rain,297.15,1010,88,3.56
2015/9/8 08:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,19,25,No Rain,297.61,1010,83,0.5
2015/9/8 09:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,11,34,No Rain,301.15,1010,65,3.1
2015/9/8 10:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,13,32,No Rain,302.15,1010,58,5.7
2015/9/8 11:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,3,42,No Rain,302.15,1010,58,4.6
